semg_rms,semg_std,semg_max,angle_mean,angle_std,angle_range,amg_rms,amg_std
199.05927,199.05927,2312.0244,59.54435,32.32705,98.617294,33.54793,33.54793
187.30862,187.30864,2315.1057,58.55597,32.242474,95.243126,34.614666,34.614666
166.07925,166.07925,1980.5736,58.030506,31.971437,89.693954,32.28918,32.28918
152.57904,152.57904,2194.5715,57.44077,30.480669,90.39072,32.5271,32.527096
197.81277,197.81277,2654.1719,57.78853,32.748013,93.391975,30.961044,30.96105
212.34436,212.34436,3215.2153,58.550472,32.75217,92.246895,29.774647,29.774645
188.15843,188.15843,2032.1007,58.98689,32.870102,95.05235,30.74467,30.74467
174.27406,174.27406,2703.7673,58.9709,32.976814,91.28154,28.77173,28.77173
152.22586,152.22586,1704.7811,,,,29.895473,29.895473
131.24823,131.24823,1650.3519,51.070675,27.448118,89.63119,29.430193,29.430191
130.22537,130.22537,1596.5554,51.316242,27.350029,92.760956,29.319105,29.319107
138.88799,138.88799,1956.7385,51.13053,26.920105,89.30658,32.236057,32.23606
111.68836,111.68836,1818.523,52.25798,27.175552,104.8367,102.04966,102.04966
112.983604,112.9836,1317.569,52.080784,27.223656,101.024124,108.569885,108.56989
119.67537,119.67536,1509.3988,52.207726,27.023315,101.943146,107.21853,107.21853
113.431854,113.431854,1428.4796,52.238064,26.683916,98.62987,106.95436,106.95437
96.38524,96.38524,1930.3916,57.6404,35.996693,90.77901,22.017609,22.017609
94.65005,94.65003,1860.5796,57.381077,36.078186,90.31958,19.317877,19.317875
98.55578,98.55578,1806.8456,57.77616,35.452114,91.84257,25.648426,25.648428
90.39275,90.39276,2929.1714,57.268845,35.898754,90.42078,26.557898,26.557898
92.481064,92.48106,2003.893,57.9833,35.41485,91.25404,17.399738,17.399738
92.32303,92.32303,1854.7549,57.484608,35.817154,92.631165,19.117603,19.117607
97.35093,97.35093,1810.4167,57.51457,36.31594,90.77756,22.521458,22.521458
88.84043,88.84043,1571.3007,57.24423,36.16674,88.33801,19.041227,19.041225
84.77855,84.77855,1217.146,55.356422,28.427494,87.37043,17.061592,17.061592
90.57127,90.57127,1633.5953,54.982998,29.835003,93.6565,18.912155,18.912155
95.56534,95.56534,1618.789,54.883606,25.766022,79.33179,17.41182,17.411816
84.04912,84.04912,1222.2847,54.13966,30.326384,90.54329,18.998816,18.998814
83.383835,83.38383,1324.9221,56.321632,30.456718,102.8312,71.48924,71.489235
87.35086,87.35086,1416.3341,56.299248,30.419847,102.03815,65.589874,65.58987
86.783844,86.783844,1728.9037,56.296314,29.907093,102.092316,67.50044,67.50045
88.71862,88.71861,1614.0437,56.372437,28.947899,102.26869,65.18931,65.18931
107.69697,107.69697,1568.2025,62.321747,32.823154,96.66229,27.962605,27.962606
109.697464,109.697464,1370.5756,62.514744,33.51506,96.76417,27.10502,27.10502
101.94177,101.94177,1378.6033,62.526863,33.509274,98.312065,26.253107,26.253107
104.74803,104.74803,1666.5327,62.12866,33.749252,96.10933,32.856297,32.8563
122.89192,122.89192,1520.0138,63.80959,33.26411,102.18586,18.305996,18.305998
132.3326,132.3326,1252.923,63.903954,33.789623,104.22522,21.57365,21.57365
128.79341,128.79341,1216.2375,63.592896,34.55603,105.72737,22.341055,22.341051
120.35729,120.3573,1338.3407,62.88756,34.861263,103.53053,21.336536,21.33654
108.07978,108.07978,1404.012,51.97814,30.996973,100.45514,14.708607,14.708607
102.0898,102.0898,1176.5817,52.155075,32.078213,101.34122,17.137665,17.137665
101.33792,101.33792,1243.5165,52.45203,33.21276,102.364716,17.36873,17.36873
93.60318,93.60317,1381.3687,52.410362,34.69499,103.539406,20.891876,20.891876
110.87814,110.87814,1615.7169,54.059284,29.416298,105.40205,58.97481,58.974808
103.108376,103.108376,1809.1108,53.921852,28.924252,104.30835,61.688328,61.688324
101.53613,101.53613,1814.9176,53.89937,29.546509,101.89043,60.936592,60.936596
103.16086,103.16086,1119.9685,53.69645,29.451635,104.49991,74.322426,74.32243
58.89357,58.89357,1013.9256,64.59484,37.845886,92.75919,25.93072,25.93072
54.309364,54.309364,1162.8262,64.36783,37.797707,95.15791,28.635553,28.635555
50.469036,50.469036,1104.7952,64.40907,37.584084,93.69964,26.247692,26.247694
55.685448,55.685448,975.8759,64.55711,38.43393,95.319885,27.83874,27.83874
92.45897,92.45897,2194.4646,63.267056,37.29471,99.25861,32.508636,32.508636
74.545265,74.545265,1195.2323,63.17903,36.847534,95.98536,30.087572,30.087572
59.969776,59.969776,1027.1104,62.615356,37.317856,93.98909,31.993694,31.993696
63.048367,63.048367,991.6093,62.720993,36.97688,93.580666,29.664696,29.664696
86.69221,86.69221,2898.6057,61.491325,25.927492,81.70621,15.0680685,15.0680685
62.751034,62.751034,757.97253,61.341465,26.14781,80.39368,13.75974,13.75974
68.17679,68.17679,982.682,61.554718,25.199623,78.29532,15.064697,15.064696
